en,fr
Warhead Stroll,Balade Atomique
Play,Jouer
By Paul Blanloeil - @cagibidev,Par Paul Blanloeil - @cagibidev
More games,Autres jeux
,
"Walk your dog, don't explode!
Made in two days for Ludum Dare #49","Promenez votre chien sans exploser !
Fait en 2 jours pour la Ludum Dare 49"
"This is a usual day for Old Roger.
Taking his dog for a walk, going to the grocery store.","C'est un jour normal pour le Père Roger.
Promener son chien, aller au marché."
"But times aren't easy for Old Roger.
You see, he has a little war wound.","Mais le Père Roger n'a pas la vie facile.
Voyez, il a une petite blessure de guerre."
"In fact, he is a literal warhead.","En fait, c'est littéralement une tête d'ogive."
"(kids are playing, conveniently offscreen)
KIDS: Hey, Old Roger's there! Hi Old Roger!","(des gamins jouent, hors champ)
GAMINS : Hé c'est le père Roger ! Salut père Roger !"
"OLD ROGER: Howdy kids! BOOM- ha, just kiddin!
KIDS: Always a good laugh, Old Roger! Haha!","PÈRE ROGER : Salut les petiots ! BOUM- ha, je déconne !
GAMINS : Toujours le mot pour rire, père Roger !"
"OLD ROGER: Now kids please keep yer distance a bit!
Lika say, am as full of kindness as am of plutonium!","PÈRE ROGER : Écartez-vous un ptit peu par contre !
Comme j'dis, j'ai autant de bonne humeur que de plutonium !"
"The street is busy with smoking cars.
Old Roger is looking for a name for the new dog.","La rue est pleine de voitures pétaradantes.
Le père Roger cherche un nom pour son chien."
"OLD ROGER: Bah! Ye don't need no name.
Oh those cars are dam' stinky this mornin.","PÈRE ROGER : Bah ! Pas besoin d'nom pour toi.
Oh, ces bagnoles sentent pas la rose c'matin."
"OLD ROGER: It'd be nice if they didn't smoke.
How 'bout nuclear cars? Ahahah, that'd be a mess. Accidents and all.","PÈRE ROGER : Ce s'rait bien si elles polluaient pas. Comme des
voitures nucléaires ! Haha, ce s'rait le bordel avec les accidents."
"OLD ROGER: Ah, I smell that. Bet ye smell that too.
Once in the butchery I'll take a salami for ye how's that sound?","PÈRE ROGER : Ah, je sens un truc. Tu le sens toi aussi hein !
Une fois à la boucherie j'te prendrai un bon saucisson ça t'va ?"
"BUTCHER OFFSCREEN: Sausages, good and fresh! Only $5!
OLD ROGER: Ah we're gettin closer! Ye good boy.","BOUCHER hors champ : Charcuterie fraiche ! 5 euros le kilo !
PÈRE ROGER : Ah on s'rapproche ! C'est bien mon chien."
"OLD ROGER: Lots'a cars again. Better not get stuck in a jam.
Traffic jam I mean.","PÈRE ROGER : Encore plein d'voitures. Évitons les bouchons.
Les embouteillages, hein !"
"OLD ROGER: Looks like we made it to the grocery shop!
Good boy. One salami for ye then.","PÈRE ROGER : Eh ben on est arrivé au marché !
Bon chien. Un saucisson pour toi !"
"BUTCHER: Roger! I told you, I don't do free salami for dogs!
OLD ROGER: Dammit butcher! Ye want some World War 3 then?","BOUCHER : Roger ! Je t'ai dit, je fais pas de promo pour les chiens !
PÈRE ROGER : Nom de diou ! Boucher, tu veux la guerre mondiale ?"
"BUTCHER: En garde!
I will fight your dog until death, for a salami.","BOUCHER : En garde !
Je combattrai ton chien, pour un saucisson, jusqu'à la mort !"
"OLD ROGER: I'm immune to your knives but my dog can get cut.
Only the blade parts of the knives can hurt my boy.","PÈRE ROGER : Je suis immunisé à tes couteaux, mais pas le chien.
Il doit éviter la partie lame de tes outils ! Allez mon chien !"
"OLD ROGER: Ye're a good boy! Keep it up! That's the spirit!
BUTCHER: This is an absurd conflict and I'm glad to be part of it!","PÈRE ROGER : Bon chien ! Continue comme ça, tu peux le faire !
BOUCHER : Ce conflit est absurde, et je suis fier d'en faire partie !"
"BUTCHER: I've always wondered if every butcher has a fight like
this one each morning. OLD ROGER: Ain't bad to have some exercise!","BOUCHER : Je m'étais demandé si tous les bouchers avaient un combat
comme ça tous les matins. ROGER : Un peu de sport fait pas d'mal !"
"OLD ROGER: Hey butcher, am thinkin there's a metaphor there,
ye know, we're fightin to death for a goddamn salami.","PÈRE ROGER : Hm, j'crois qu'il y a une métaphore derrière ce combat.
Tu sais, on est un peu en train de s'entretuer pour un saucisson."
"BUTCHER: Yeah, like this is a metaphor for war in general?
OLD ROGER: Yup. Exactly. Conflit escalation, etc.","BOUCHER : Ah, comme une métaphore de la guerre en général ?
PÈRE ROGER : Ouais, voilà. Escalation de conflit, tout ça tout ça."
"OLD ROGER: Anyway, ye have any damn weak points? BUTCHER: Yup.
OLD ROGER: An' those are? BUTCHER: I won't tell you.","PÈRE ROGER : Sinon, t'as des points faibles ? BOUCHER : Oui.
PÈRE ROGER : Et c'est quoi ? BOUCHER : Ah je te dirai pas !"
"BUTCHER: I just noticed your dog has only 3 legs.
OLD ROGER: Yeah poor boy. Well he's easier to animate like that.","BOUCHER : Je viens de remarquer que ton chien a 3 pattes.
PÈRE ROGER : Oui, pauv'petit. Au moins il est plus facile à animer."
"OLD ROGER: Can I put the credits in there?
BUTCHER: Bad idea, this text is too short. Focus on the fight.","PÈRE ROGER : Je pourrais mettre les crédits là non ?
BOUCHER : Bof, le texte est trop court, restons au combat."
"OLD ROGER: It's a bit cloudy today.
BUTCHER: Yeah, lots of rain for next week. October I guess.","PÈRE ROGER : Il fait pas très beau aujourd'hui.
BOUCHER : Oui, il pleuvra pas mal, on arrive en Octobre."
"*knife-throwing noises*
OLD ROGER: War. War never changes.","*bruits de couteaux en vol*
PÈRE ROGER : La guerre. La guerre ne change pas."
"OLD ROGER: How many knives ye have?
BUTCHER: You know, it takes a lot to be a butcher.","PÈRE ROGER : T'as combien de couteaux ?
BOUCHER : Vous savez, il en faut beaucoup pour être boucher."
"BUTCHER: How's the new dog named?
OLD ROGER: I've not decided. Probably the same as the previous one.","BOUCHER : Il s'appelle comment le nouveau chien ?
PÈRE ROGER : J'sais pas trop encore. Sans doute comme l'ancien."
"*noise of various cutting objects being thrown*
BUTCHER: I don't have any special attack for today, sorry.","*bruits de lancements d'ustensiles variés*
BOUCHER : Désolé, j'ai pas d'attaque spéciale aujourd'hui."
"OLD ROGER: Achoo! BUTCHER: Bless you. OLD ROGER: Thanks.
*fight continues*","PÈRE ROGER : Atchoum ! BOUCHER : À tes souhaits. ROGER : Merci.
*le combat continue*"
"OLD ROGER: Ok this is the last time I'm doin this text thing.
BUTCHER: Fine, we'll resume chatting after the fight.","PÈRE ROGER : Ok, c'est la dernière fois que j'remplis ce texte là.
BOUCHER : Pas d'souci. On continuera la discute après le combat."
"BUTCHER: Way to go Roger! One salami for the dog. Will that be all?
OLD ROGER: I'll take another one for me if ye will!","BOUCHER : Bien joué ! Un saucisson pour le chien ce sera tout ?
PÈRE ROGER : Un autre pour moi si tu veux bien !"
"BUTCHER: Here you go! Have a nice day,
don't explode on the way out! OLD ROGER: Thanks, ye too!","BOUCHER : Voilà pour toi ! Bonne journée,
n'explose pas en sortant ! PÈRE ROGER : Merci toi aussi !"
You died ,Vous êtes mort 
 times and you finished the game in , fois et vous avez fini le jeu en 
" seconds
Thank you for playing!"," secondes
Merci d'avoir joué !"
"Thanks to all Ludum Dare reviewers:
Peace Of Cake Games, gogu, Elastic, Frogman, rogual, Derek Volker,","Merci à toutes les critiques de la Ludum Dare :
Peace Of Cake Games, gogu, Elastic, Frogman, rogual, Derek Volker,"
"Special thanks to DecadeDecaf, CatnipOverdose,
Jamie, and the Godot Engine community!","Merci en particulier à DecadeDecaf, CatnipOverdose,
Jamie, et la communauté du moteur Godot !"
"BUTCHER: Okay fine!
≡ You Win! ===","BOUCHER : Bon d'accord !
=== Victoire ! === "
